t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.003,0.958005,-11.2853,-3.00335,-19.5312,-95.9473,180.603
55.007,-0.0670612,-10.3369,-2.25132,-19.7144,-87.0972,172.302
55.013,-0.943634,-9.40285,-1.87291,-20.5688,-81.9092,163.086
55.017,-1.37953,-8.98612,-2.08366,-20.9961,-79.2236,153.259
55.023,-0.958005,-9.2831,-2.23216,-19.2871,-78.5522,142.822
55.027,-0.0622739,-9.69983,-2.2609,-16.5405,-80.9936,131.836
55.033,0.555648,-9.71899,-1.92081,-13.7329,-86.3647,123.169
55.038,1.03465,-9.26872,-1.29331,-13.1836,-92.102,119.019
55.042,0.162866,-8.28677,-1.05381,-16.2354,-93.3838,116.333
55.048,-1.70525,-6.94077,-1.2502,-21.2402,-84.8389,112.976
55.052,-3.21891,-5.63788,-0.96759,-26.4282,-77.9419,103.149
55.058,-4.29188,-4.36852,-0.905316,-28.6865,-76.7822,86.792
55.062,-4.40204,-3.07521,-0.675399,-28.0762,-80.9936,66.8335
55.068,-4.34935,-3.32907,0.00478728,-30.2734,-88.501,51.2695
55.072,-3.97573,-4.92895,0.560435,-31.25,-95.1538,41.0767
55.077,-2.8836,-4.75651,-0.0479022,-21.6675,-91.3696,27.5879
55.083,-2.3567,-2.17947,-0.900529,-15.564,-78.125,3.35693
55.087,-1.58071,-1.59509,-1.23104,-24.5361,-65.0635,-18.9209
55.093,0.301775,-2.34233,-0.704132,-28.8696,-52.7954,-33.6304
55.097,2.00224,-2.90276,-0.608338,-31.3721,-43.7622,-46.5088
55.103,3.171,-3.5111,-0.301775,-35.1562,-34.3628,-57.6782
55.107,3.79371,-3.86556,0.110166,-36.7432,-24.0479,-67.749
55.113,4.12901,-3.97094,0.359252,-36.438,-15.0757,-77.4536
55.117,4.21044,-3.82724,0.502959,-36.2549,-6.83594,-86.9751
55.122,3.84162,-3.66438,0.637071,-37.4756,0.976562,-96.0083
55.127,3.37697,-3.50152,0.857414,-39.1846,7.14111,-104.492
55.132,2.99378,-3.42488,1.14003,-40.5884,11.6577,-112.671
55.137,2.69679,-3.559,1.31247,-41.9311,14.8926,-120.544
55.142,2.32796,-3.76976,1.36995,-42.1143,18.3716,-128.601
55.147,1.61425,-3.93741,1.346,-41.626,21.9727,-137.146
55.152,0.910103,-3.96615,1.14961,-40.9546,24.353,-146.118
55.156,0.459844,-4.06196,0.852626,-40.1611,24.4141,-155.151
55.161,0.407154,-4.32062,0.689771,-39.1846,22.7661,-164.124
55.166,0.407154,-4.55054,0.517321,-38.0859,19.7754,-173.157
55.171,0.368836,-4.79004,0.349677,-36.377,16.1133,-181.763
55.176,0.445472,-4.93374,0.229927,-34.4238,13.4888,-190.063
55.181,0.560435,-5.02954,0.143697,-32.2266,12.4512,-198.608
55.186,0.589179,-5.18282,0.162866,-30.2124,11.4746,-207.947
55.19,0.603541,-5.37443,0.301775,-28.0151,9.27734,-217.163
55.195,0.617912,-5.56603,0.407154,-25.6958,5.7373,-225.952
55.2,0.637071,-5.75763,0.455056,-23.6206,1.0376,-234.497
55.205,0.579594,-5.9636,0.39757,-21.5454,-3.05176,-242.493
55.21,0.450259,-6.2079,0.455056,-19.8975,-6.40869,-250.427
55.215,0.378411,-6.45697,0.39757,-19.043,-10.6201,-257.935
55.22,0.507746,-6.76353,0.282616,-18.3105,-15.8081,-264.832
55.225,0.680186,-7.03657,0.292191,-17.7002,-20.813,-271.423
55.229,0.766406,-7.28565,0.191599,-17.8833,-25.3296,-278.015
55.234,0.972377,-7.60179,0.196396,-18.0664,-30.5176,-284.302
55.239,1.26457,-7.81734,0.229927,-18.4326,-34.9731,-290.1
55.244,1.33163,-8.00894,0.320934,-19.4702,-39.1846,-296.326
55.249,1.31247,-8.35383,0.201183,-20.9961,-44.4946,-303.284
55.254,1.38912,-8.77056,0.148494,-22.3999,-48.9502,-309.326
55.259,1.51844,-9.30225,0.215555,-24.1089,-52.124,-314.514
55.264,1.56156,-9.91059,0.253873,-25.6958,-55.2368,-319.458
55.269,1.50887,-10.5046,0.292191,-26.9165,-57.9224,-324.158
55.273,1.49928,-11.0698,0.368836,-27.6489,-60.5469,-328.674
55.278,1.4897,-11.6877,0.416729,-28.0151,-64.8193,-332.764
55.283,1.38912,-12.3918,0.479003,-27.9541,-70.9229,-335.632
55.288,1.20709,-13.0576,0.488587,-27.5879,-76.6602,-337.707
55.293,1.09691,-13.757,0.708929,-27.2827,-81.1767,-340.942
55.298,1.13524,-14.5426,0.675399,-26.6724,-86.7309,-343.994
55.303,1.33163,-15.2802,0.593966,-27.5269,-89.0503,-345.154
55.308,1.55676,-15.8359,0.598753,-30.3955,-85.3271,-345.825
55.312,1.39869,-16.6741,0.455056,-35.0952,-77.0874,-346.802
55.318,0.790352,-17.7519,0.507746,-40.0391,-65.8569,-347.351
55.322,-0.474215,-18.868,0.622709,-43.8843,-56.9458,-347.839
55.327,-2.11241,-19.8356,0.689771,-45.5322,-53.1006,-348.45
55.333,-3.64043,-20.3146,0.546064,-45.5933,-51.2085,-348.938
55.337,-5.1924,-20.3768,0.162866,-45.8984,-47.7905,-349.06
55.343,-6.61984,-20.3481,-0.349677,-46.7529,-41.8091,-348.389
55.347,-7.38145,-20.2044,-1.12566,-48.0957,-34.1797,-346.374
55.353,-7.24254,-20.1038,-1.99744,-49.8657,-23.8037,-343.567
55.357,-7.19943,-19.9553,-2.78781,-51.2695,-8.72803,-340.027
55.363,-7.6449,-20.2379,-3.18059,-51.6968,7.75146,-334.717
55.368,-8.66997,-21.0522,-3.3195,-52.124,18.9819,-326.66
55.373,-9.58008,-21.6845,-3.04647,-52.9175,22.1558,-316.101
55.378,-10.7057,-21.9144,-3.11831,-54.9316,19.8364,-303.833
55.382,-12.0469,-21.6749,-3.11353,-57.0679,13.5498,-289.307
55.388,-13.6277,-21.057,-3.09916,-58.7769,4.39453,-272.888
55.392,-15.285,-20.1469,-3.03209,-59.5093,-6.95801,-255.615
55.398,-16.7124,-19.2081,-2.94109,-59.021,-20.5078,-237.061
55.402,-17.8525,-18.4321,-2.51956,-57.0068,-34.729,-216.553
55.408,-18.9638,-17.8764,-1.98307,-54.5044,-48.4619,-193.848
55.413,-19.8212,-17.3831,-1.26457,-51.3916,-59.9365,-169.067
55.417,-20.5014,-16.9041,-0.526905,-47.2412,-68.6646,-143.127
55.423,-20.9899,-16.2574,0.186812,-41.748,-74.585,-116.516
55.427,-21.2534,-15.5293,0.886157,-34.3628,-78.064,-89.6606
55.433,-21.2582,-15.0503,1.3029,-24.8413,-80.8716,-62.439
55.437,-20.7409,-14.5234,1.06818,-14.7705,-81.7871,-34.668
55.443,-19.7493,-13.9917,0.359252,-5.85938,-76.7212,-6.65283
55.447,-18.547,-13.7762,-0.22513,0.610352,-65.918,20.6299
55.452,-17.0573,-16.2191,-1.7771,3.05176,-52.4292,46.4477
55.458,-14.7102,-20.4104,-4.56491,-4.15039,-46.814,74.8291
55.462,-11.6015,-16.3724,0.0383179,3.479,-36.0107,98.7549
55.468,-8.19097,-13.5414,1.50407,9.21631,-14.1602,121.277
55.472,-1.28373,-10.5956,-3.30513,4.5166,12.2681,132.324
55.478,10.174,-7.93709,-8.24844,-4.88281,27.2827,106.873
55.482,21.2342,-9.25915,-6.91203,-12.085,12.5732,62.0727
55.488,26.3308,-11.6877,-0.608338,-7.75146,-24.353,37.4146
55.493,25.4447,-10.3225,4.63676,7.62939,-46.936,49.0723
55.498,18.2213,-6.86891,7.04615,20.5078,-26.1841,76.0498
55.503,8.39694,-6.27974,6.94556,21.2402,21.7285,86.9141
55.507,2.35191,-8.88553,5.95402,16.2354,61.3403,86.853
55.512,0.584382,-13.0576,5.23551,13.1836,80.2612,92.041
55.517,0.613125,-17.0334,4.73735,11.7798,83.313,104.919
55.522,0.296978,-19.0596,3.87993,9.39941,77.2095,120.544
55.527,-1.12566,-18.6859,2.53872,5.24902,62.8662,130.31
55.532,-2.58662,-16.6214,0.354465,-1.70898,45.166,132.141
55.537,-3.45841,-14.1737,-2.05972,-10.437,36.5601,130.432
55.542,-3.35303,-12.6888,-2.98899,-16.8457,36.9263,128.174
55.547,-2.11241,-11.7308,-2.70637,-18.5547,41.2598,124.39
55.551,-1.09691,-10.5908,-2.42855,-17.6392,45.3491,119.751
55.556,-0.129335,-9.69504,-2.16988,-16.6016,46.0815,116.211
55.561,0.474215,-9.2831,-2.23694,-16.8457,43.2129,115.295
55.566,1.26936,-8.4161,-3.02731,-18.6157,39.5508,113.525
55.571,2.17468,-7.54431,-4.19607,-21.3623,40.5273,110.474
55.576,2.29922,-7.31918,-5.35047,-24.1089,48.7061,108.643
