t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.003,0.715669,-10.835,4.40306,130.511,24.1935,156.801
55.007,0.349958,-9.3722,4.89529,122.92,26.9434,147.74
55.013,-0.170508,-8.16192,5.11525,114.924,26.5111,140.779
55.017,-0.698101,-7.80663,5.05611,107.274,23.6388,134.681
55.023,-0.453429,-8.25017,4.87908,101.059,18.1886,128.05
55.027,0.225529,-8.87234,4.52028,95.7718,9.65765,122.265
55.033,0.893603,-8.9001,4.29497,92.6985,-0.00800307,119.269
55.038,1.57653,-8.36167,4.03104,91.2784,-6.90715,120.178
55.042,0.953519,-7.18744,4.152,87.5396,-8.39026,121.589
55.048,-0.731662,-5.64486,4.49949,80.1146,-1.81243,118.282
55.052,-1.82977,-3.99527,4.87576,68.3696,0.129035,112.866
55.058,-2.77004,-2.6233,4.87535,55.1938,-6.80641,105.634
55.062,-2.9319,-1.44123,4.31484,42.5152,-20.7776,97.8555
55.068,-2.37345,-1.30357,4.76099,31.5812,-34.2058,95.9691
55.072,-1.42388,-2.39969,5.71219,25.0704,-44.5222,95.4325
55.077,-1.12468,-2.91717,4.60077,21.5866,-51.5196,80.3662
55.083,-1.8437,-1.4771,2.35245,6.41579,-55.5431,56.8403
55.087,-1.64803,-1.42451,1.34654,-17.7911,-54.0469,44.2232
55.093,0.163509,-2.32281,0.80698,-33.3663,-50.6527,32.7537
55.097,1.51333,-3.24198,0.0667519,-45.7844,-49.4362,22.853
55.103,2.65116,-3.92523,-0.195117,-57.9685,-46.6403,14.4177
55.107,3.43631,-4.18338,-0.19499,-68.0412,-43.2191,4.56009
55.113,3.86183,-4.24018,-0.230786,-76.2944,-41.2565,-5.57921
55.117,3.99096,-4.07591,-0.296162,-84.3654,-39.7427,-15.1267
55.122,3.79822,-3.76273,-0.0833071,-92.9864,-37.8807,-23.2713
55.127,3.59924,-3.37494,0.234493,-101.249,-36.8907,-29.8773
55.132,3.51638,-3.04821,0.579399,-108.776,-37.1452,-35.583
55.137,3.45648,-2.97315,0.935355,-115.803,-38.2772,-40.4395
55.142,3.28136,-2.99698,1.3259,-122.203,-39.6686,-46.2842
55.147,2.8027,-2.92289,1.87677,-128.501,-41.4249,-52.8776
55.152,2.18416,-2.83151,2.2566,-134.738,-44.4312,-59.0967
55.156,1.68397,-2.92424,2.45988,-140.492,-49.3504,-64.0887
55.161,1.58324,-3.19874,2.56334,-145.753,-55.6528,-68.1858
55.166,1.50682,-3.47165,2.61112,-150.716,-63.0915,-71.6182
55.171,1.40906,-3.73786,2.6918,-154.832,-71.0285,-74.8523
55.176,1.40598,-3.93829,2.66574,-158.762,-78.0561,-78.6935
55.181,1.44368,-4.09494,2.60351,-162.996,-84.0257,-83.7291
55.186,1.50605,-4.2156,2.68251,-167.922,-90.3056,-89.0706
55.19,1.64915,-4.29968,2.85183,-172.403,-97.5478,-93.7676
55.195,1.7689,-4.40128,3.00466,-176.247,-105.671,-97.5605
55.2,1.85193,-4.53442,3.12612,-179.87,-114.514,-100.406
55.205,1.81127,-4.71048,3.25411,-183.226,-122.585,-103.333
55.21,1.80824,-4.83474,3.50761,-186.974,-129.909,-106.373
55.215,1.76582,-5.04063,3.66983,-190.812,-137.445,-108.193
55.22,1.8335,-5.38423,3.70559,-194.123,-145.4,-109.07
55.225,2.01138,-5.64935,3.75507,-197.34,-153.013,-109.823
55.229,2.04831,-5.92648,3.7929,-201.2,-159.993,-110.339
55.234,2.25425,-6.23868,3.84298,-204.719,-167.347,-110.319
