t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.004,-2.05013,7.98021,-0.167653,-30.8838,23.9258,-60.1196
55.009,-2.0214,7.96584,-0.105379,-29.9072,21.4844,-57.9834
55.014,-1.99744,7.92751,-0.105379,-28.8696,19.3481,-55.6641
55.019,-1.97828,7.82693,-0.0431149,-27.771,17.2729,-53.5278
55.024,-1.95913,7.80297,-0.0431149,-26.6113,15.3198,-51.1475
55.029,-1.95434,7.75987,-0.0718484,-25.2686,13.7329,-48.5229
55.034,-1.88728,7.75507,-0.0718484,-23.9868,12.3291,-45.8374
55.039,-1.84896,7.75987,-0.110166,-22.522,11.1694,-43.0298
55.043,-1.7771,7.79818,-0.167653,-20.9961,10.376,-40.1611
55.048,-1.72921,7.82213,-0.153281,-19.4702,9.8877,-37.1704
55.053,-1.67172,7.8844,-0.201183,-17.8223,9.76562,-34.0576
55.058,-1.57593,7.97063,-0.25866,-16.1743,9.8877,-30.8838
55.063,-1.50407,8.07122,-0.273032,-14.6484,10.1929,-27.6489
55.068,-1.46575,8.18138,-0.277819,-13.0615,10.8643,-24.4751
55.073,-1.39869,8.2245,-0.320934,-11.8408,11.6577,-21.2402
55.078,-1.31247,8.2724,-0.387995,-10.5591,12.8174,-17.7612
55.082,-1.23583,8.31072,-0.445472,-8.97217,14.3433,-14.0991
55.087,-1.14482,8.40652,-0.445472,-7.38525,15.9912,-10.1318
55.092,-1.10171,8.50711,-0.488587,-5.49316,17.8223,-5.7373
55.097,-1.03465,8.66997,-0.522118,-3.72314,19.8975,-1.28174
55.102,-1.00591,8.85199,-0.541277,-1.89209,22.0337,3.479
55.107,-1.02507,9.05797,-0.531692,0.244141,24.353,8.54492
55.112,-1.01069,9.27831,-0.555648,2.2583,26.4282,13.6108
55.117,-1.0586,9.54655,-0.546064,4.21143,28.4424,19.043
55.121,-1.14003,9.79084,-0.502959,5.92041,30.4565,24.292
55.126,-1.18793,9.96328,-0.445472,7.56836,32.3486,29.541
55.131,-1.20709,10.1357,-0.426313,9.27734,34.1187,35.0342
55.136,-1.24062,10.3656,-0.392783,11.2305,35.7056,40.7104
55.141,-1.33642,10.5812,-0.296978,13.3667,37.4146,46.4477
55.146,-1.38912,10.792,-0.301775,15.3198,39.0015,52.3682
55.151,-1.3939,11.0075,-0.277819,17.334,40.5884,58.1055
55.155,-1.46096,11.1704,-0.229927,19.043,41.8091,63.7817
55.161,-1.45618,11.2805,-0.234714,20.752,42.9077,69.397
55.166,-1.43701,11.3859,-0.239501,22.7051,44.1894,75.0122
55.171,-1.41785,11.5727,-0.25866,24.8413,45.5322,81.0547
55.176,-1.43222,11.8266,-0.25866,27.4048,46.936,87.4023
55.18,-1.41785,12.2002,-0.215555,30.2124,48.2178,93.8721
55.186,-1.42743,12.6074,-0.191599,33.02,49.3164,100.159
55.19,-1.49449,13.0481,-0.22513,35.4004,50.4761,106.384
55.196,-1.52803,13.4504,-0.220342,37.1704,51.3916,111.755
55.2,-1.56634,13.7522,-0.167653,38.3911,52.124,116.577
55.206,-1.66215,13.939,-0.134122,39.1235,52.6733,120.789
55.211,-1.74357,14.0252,-0.143697,39.3677,53.1616,124.573
55.215,-1.79626,13.939,-0.13891,39.3066,53.5889,127.93
55.221,-1.88728,13.7714,-0.110166,39.6729,53.833,130.92
55.225,-2.00703,13.6756,-0.100592,40.4663,54.0161,133.728
55.231,-2.04056,13.5175,-0.0239462,41.626,54.1382,136.353
55.235,-2.09804,13.4504,0.0526895,42.9077,54.0771,138.794
55.241,-2.17947,13.3498,0.0910074,44.0063,53.6499,140.991
55.245,-2.25132,13.3115,0.167653,45.105,53.0395,142.761
55.25,-2.40939,13.1966,0.296978,46.3867,51.6357,144.104
55.256,-2.54351,13.1103,0.455056,47.5464,50.1099,145.386
55.26,-2.70637,13.0385,0.584382,48.8892,47.9126,146.362
55.266,-2.89318,12.9762,0.737663,50.1099,44.9219,146.912
55.27,-3.05604,12.8996,0.953218,51.2085,41.2598,146.729
55.276,-3.17579,12.8852,1.08734,52.2461,37.1094,146.179
55.28,-3.3195,12.8229,1.23104,52.9785,32.3486,145.264
55.286,-3.38656,12.7463,1.36037,53.3447,27.2827,143.372
55.291,-3.48715,12.6218,1.44181,53.5278,21.9116,140.564
55.296,-3.54941,12.4302,1.50407,53.4058,16.5405,137.39
55.301,-3.56858,12.2002,1.5424,53.1616,11.1694,133.667
55.305,-3.559,12.0038,1.60466,52.9785,6.22558,129.7
55.311,-3.49673,11.8458,1.6334,52.8564,1.40381,125.122
55.315,-3.41051,11.6542,1.55197,52.5513,-2.74658,120.178
55.321,-3.34344,11.5296,1.51365,52.124,-6.53076,114.929
55.325,-3.23328,11.4099,1.44659,51.5137,-9.64355,109.375
55.331,-3.1231,11.2997,1.346,50.5981,-12.2681,103.76
55.336,-2.95546,11.247,1.21188,49.4995,-14.2212,98.0835
55.34,-2.77343,11.1991,1.05381,48.2788,-15.4419,92.2851
55.346,-2.61537,11.2662,0.924475,46.936,-16.2964,86.4868
55.35,-2.49082,11.3189,0.79515,45.105,-16.3574,80.5664
55.356,-2.3088,11.4147,0.646656,42.9687,-15.7471,74.646
55.36,-2.13157,11.4721,0.498162,40.4663,-14.3433,68.4814
55.365,-1.92081,11.5344,0.402367,37.2314,-11.7798,62.1338
55.37,-1.69088,11.5775,0.292191,33.5083,-8.17871,55.603
55.375,-1.46096,11.6063,0.153281,29.7241,-3.60107,48.9502
55.38,-1.2502,11.5536,0.0718484,25.8789,2.31934,42.7856
55.385,-1.06818,11.4769,-0.0239462,21.7285,9.46045,36.6211
55.39,-0.938846,11.4242,-0.0479022,17.4561,17.4561,30.6396
55.395,-0.843052,11.3668,-0.134122,13.2446,26.062,24.9023
55.399,-0.732876,11.2326,-0.129335,9.27734,35.3394,19.2871
55.404,-0.723291,11.1464,-0.17244,5.18799,45.0439,14.0381
55.409,-0.799937,11.0315,-0.148494,1.46484,54.8096,9.33838
55.414,-0.890944,10.9213,-0.162866,-2.2583,64.0869,5.31006
55.419,-1.07297,10.7488,-0.177227,-6.04248,72.3267,1.83106
55.424,-1.16877,10.677,-0.234714,-9.70459,80.2612,-2.01416
55.429,-1.14961,10.5716,-0.167653,-13.1836,87.8296,-6.04248
55.433,-1.2023,10.4423,-0.148494,-16.1133,95.581,-9.64355
55.438,-1.24541,10.3273,-0.134122,-18.7988,103.638,-12.5122
55.443,-1.34121,10.1693,-0.124538,-21.7285,111.572,-15.0146
55.448,-1.50407,10.0016,-0.0335306,-24.1089,119.08,-17.6392
55.453,-1.64298,9.87227,-0.00478728,-25.6958,126.038,-20.3247
55.458,-1.75794,9.73336,0.0670612,-26.9165,132.507,-22.8271
55.463,-1.89685,9.6136,0.124538,-27.9541,138.55,-25.3296
55.468,-2.0214,9.43638,0.17244,-28.8696,144.226,-27.4658
55.472,-2.12678,9.23519,0.186812,-29.2969,149.292,-29.1748
55.477,-2.28006,9.04359,0.229927,-29.541,153.809,-30.5786
55.482,-2.43334,8.84241,0.268245,-29.2969,157.41,-31.6772
55.487,-2.56746,8.63165,0.277819,-28.8086,160.034,-32.5317
55.492,-2.74948,8.47837,0.277819,-28.1372,161.987,-33.3252
55.497,-2.92193,8.30593,0.306563,-27.5879,163.208,-33.7524
55.502,-2.98419,8.16702,0.287404,-26.9165,163.574,-33.9355
55.507,-3.10394,7.99937,0.249086,-26.062,163.391,-33.8745
55.512,-3.23807,7.86525,0.25866,-25.0854,162.476,-33.6304
55.516,-3.34824,7.73112,0.25866,-23.9258,160.767,-33.2642
55.521,-3.37219,7.63053,0.277819,-22.7661,158.63,-32.5928
55.526,-3.43446,7.56826,0.234714,-21.3623,155.823,-31.7993
55.531,-3.48235,7.53952,0.22513,-20.0806,152.466,-30.8228
55.536,-3.51588,7.46288,0.186812,-18.6768,148.56,-29.7852
