t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.004,-1.21524,-7.2548,3.71563,-10.2363,1.61521,70.9452
55.009,-1.20685,-7.26601,3.64697,-10.1262,3.03267,67.8702
55.014,-1.18731,-7.23127,3.62564,-9.98357,4.09671,64.729
55.019,-1.19554,-7.16248,3.52787,-9.72519,5.17196,61.7534
55.024,-1.17934,-7.14089,3.5133,-9.46753,6.03986,58.5902
55.029,-1.17031,-7.09027,3.52117,-9.07312,6.47101,55.2935
55.034,-1.10673,-7.0878,3.49948,-8.73829,6.71153,52.0292
55.039,-1.0588,-7.07881,3.5236,-8.24245,6.6746,48.6936
55.043,-0.970472,-7.09451,3.56705,-7.67388,6.27399,45.422
55.048,-0.926784,-7.12352,3.54907,-7.11362,5.54495,42.1562
55.053,-0.852827,-7.1646,3.59724,-6.43994,4.42734,38.8825
55.058,-0.737499,-7.22531,3.65135,-5.76236,3.0608,35.6456
55.063,-0.656067,-7.31497,3.67996,-5.20283,1.50534,32.4592
55.068,-0.608551,-7.41614,3.71365,-4.53582,-0.367315,29.4441
55.073,-0.528491,-7.4416,3.74766,-4.22516,-2.36522,26.5293
55.078,-0.422893,-7.46296,3.79884,-3.89411,-4.7963,23.5175
55.082,-0.330007,-7.47881,3.84086,-3.29218,-7.64448,20.3897
55.087,-0.234816,-7.57006,3.84937,-2.76677,-10.7214,17.0385
55.092,-0.172619,-7.64797,3.91181,-2.05611,-14.1388,13.2888
55.097,-0.0848873,-7.78779,3.98179,-1.45818,-17.8016,9.6121
55.102,-0.0361665,-7.94965,4.05762,-0.8838,-21.6384,5.67136
55.107,-0.0392859,-8.14318,4.13126,-0.089343,-25.7694,1.43937
55.112,0.000429047,-8.33824,4.22978,0.567397,-29.6711,-2.84687
55.117,-0.0247188,-8.58849,4.33504,1.05602,-33.6538,-7.45995
55.121,-0.0935098,-8.82835,4.41188,1.3639,-37.5596,-11.8394
55.126,-0.140649,-9.00821,4.43947,1.60293,-41.3507,-16.2459
55.131,-0.149418,-9.17435,4.49224,1.8199,-45.1237,-20.9307
55.136,-0.171009,-9.39867,4.55795,2.20176,-48.8039,-25.9169
55.141,-0.271052,-9.63159,4.58204,2.7515,-52.6255,-30.966
55.146,-0.301659,-9.82313,4.68008,3.06357,-56.3985,-36.1672
55.151,-0.294328,-10.0313,4.74034,3.48625,-60.1037,-41.2254
55.155,-0.357845,-10.1982,4.77852,3.60325,-63.4381,-46.2749
55.161,-0.342346,-10.2983,4.82214,3.72702,-66.6365,-51.3161
55.166,-0.313522,-10.3945,4.85974,4.09971,-70.0113,-56.3619
55.171,-0.273529,-10.5605,4.94019,4.53049,-73.6103,-61.8153
55.176,-0.265175,-10.7948,5.03861,5.28733,-77.3941,-67.6415
55.18,-0.231291,-11.1571,5.13495,6.23166,-81.1186,-73.693
55.186,-0.211879,-11.5424,5.26772,7.21227,-84.6043,-79.6514
55.19,-0.228007,-11.9352,5.48057,7.80813,-88.1105,-85.4058
55.196,-0.226418,-12.308,5.6355,8.04394,-91.0486,-90.3181
55.2,-0.251791,-12.6059,5.71243,7.89626,-93.5928,-94.6521
55.206,-0.336571,-12.7886,5.78065,7.44074,-95.7217,-98.3722
55.211,-0.404056,-12.8622,5.84522,6.63613,-97.6174,-101.593
55.215,-0.463204,-12.7828,5.82468,5.65671,-99.2855,-104.371
55.221,-0.572851,-12.6361,5.76427,5.17405,-100.657,-107.02
55.225,-0.698205,-12.5476,5.75587,5.14569,-101.916,-109.659
55.231,-0.765828,-12.4296,5.63976,5.51387,-103.06,-112.268
55.235,-0.848397,-12.3949,5.56451,6.0351,-103.968,-114.819
55.241,-0.9458,-12.3141,5.51766,6.41939,-104.44,-117.237
55.245,-1.03958,-12.3057,5.45735,6.90974,-104.58,-119.347
55.25,-1.23736,-12.2439,5.34788,7.62768,-103.83,-121.43
55.256,-1.41799,-12.2202,5.2166,8.23599,-102.94,-123.468
55.26,-1.61659,-12.1981,5.12453,9.04803,-101.318,-125.54
55.266,-1.84406,-12.1932,5.02202,9.79618,-98.7975,-127.496
55.27,-2.06768,-12.1995,4.8523,10.5787,-95.3742,-129.019
55.276,-2.22152,-12.2336,4.7645,11.3652,-91.3583,-130.382
55.28,-2.40511,-12.2263,4.65762,11.9116,-86.6304,-131.56
55.286,-2.51269,-12.2027,4.53532,12.3609,-81.2386,-131.883
55.291,-2.64277,-12.1155,4.44736,12.8703,-75.2114,-131.458
55.296,-2.73662,-11.9602,4.34001,13.193,-69.0362,-130.621
55.301,-2.78585,-11.7615,4.22668,13.5558,-62.649,-129.264
