t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.004,-1.3939,11.0075,-2.55788,11.3525,33.5693,-89.2944
55.01,-0.737663,9.41722,-2.32316,8.72803,24.7803,-82.5195
55.014,-1.03944,8.72266,-1.76274,8.11768,14.0381,-76.9653
55.019,-1.64298,8.97175,-1.02985,6.34766,4.63867,-75.1953
55.025,-2.01182,9.44596,-0.675399,4.02832,-1.58691,-76.2329
55.03,-1.89206,9.80042,-0.756822,2.86865,-5.00488,-76.5381
55.035,-1.36037,10.0208,-0.886157,2.50244,-7.38525,-74.8901
55.039,-0.996333,10.0447,-0.847839,2.2583,-9.94873,-72.3267
55.045,-1.08255,9.94412,-0.737663,1.40381,-13.1836,-69.7021
55.049,-1.35559,9.78126,-0.560435,0.549316,-17.5781,-67.3828
55.055,-1.38432,9.6663,-0.354465,-0.549316,-21.8506,-64.6973
55.059,-1.15919,9.48428,-0.263448,-0.854492,-24.353,-62.5
55.065,-0.814308,9.331,-0.411942,-0.244141,-23.9258,-60.6689
55.07,-0.57001,9.12981,-0.627497,1.83106,-21.7895,-59.5093
55.074,-0.651443,9.38847,-0.9149,3.54004,-21.6675,-58.8989
55.08,-0.780778,9.78605,-1.07776,3.72314,-24.9023,-59.6924
55.084,-0.253873,9.87227,-0.934059,3.23486,-27.4048,-61.4624
55.09,0.498162,9.31184,-0.713717,5.43213,-23.9258,-61.7065
55.094,0.488587,8.73703,-0.785565,10.3149,-15.686,-60.2417
55.1,0.100592,8.80888,-0.962802,13.0615,-7.50732,-59.1431
55.104,-0.263448,9.15856,-1.15919,12.6343,-2.19727,-57.8613
55.109,-0.627497,9.44116,-1.36037,11.7798,-0.549316,-55.9692
55.115,-0.560435,9.38847,-1.47534,10.437,-0.976562,-53.5889
55.119,-0.651443,9.06275,-1.5376,10.0098,-1.28174,-50.7812
55.125,-1.04423,8.98612,-1.55676,10.0098,-1.64795,-48.2788
55.129,-1.30768,9.16334,-1.55676,8.54492,-3.66211,-46.2646
55.135,-1.08255,9.29747,-1.48491,6.46973,-6.46973,-44.2505
55.139,-0.996333,9.29747,-1.37474,5.18799,-8.11768,-41.9311
55.144,-1.31726,9.19688,-1.38432,4.69971,-9.27734,-39.3066
55.15,-1.5424,9.19209,-1.14961,4.08936,-11.2915,-36.9263
55.154,-1.57113,9.08191,-0.981961,3.66211,-13.916,-35.4614
55.16,-1.55197,9.01006,-0.986749,4.08936,-15.564,-34.3018
55.164,-1.67651,9.07234,-0.953218,4.76074,-17.8833,-33.3862
55.17,-1.76274,9.14419,-0.890944,5.43213,-21.7895,-32.4097
55.174,-1.85375,9.09628,-0.823883,6.28662,-25.6958,-31.5552
55.18,-1.87291,9.07234,-0.651443,7.50732,-29.2358,-30.7617
55.184,-1.82979,9.15376,-0.555648,8.8501,-31.9824,-30.0293
55.19,-1.85375,9.11065,-0.617912,9.8877,-34.0576,-29.541
55.195,-1.72921,9.10107,-0.895741,11.2915,-35.5225,-29.2969
55.199,-1.50887,9.20166,-1.15919,12.146,-36.377,-28.6865
55.205,-1.24541,9.22082,-1.36516,12.085,-37.3535,-28.0151
55.209,-1.03944,9.20646,-1.53281,11.9629,-37.9639,-27.5269
55.215,-0.847839,9.23041,-1.68609,11.3525,-36.6821,-26.6724
55.219,-0.785565,9.23041,-1.75315,10.6812,-34.1187,-25.3906
55.225,-0.804724,9.18729,-1.73878,9.82666,-30.6396,-24.4751
55.229,-0.910103,9.00528,-1.71004,8.8501,-27.4658,-23.6206
55.234,-1.00112,8.89031,-1.78669,9.21631,-24.231,-23.0103
55.24,-1.14482,9.08191,-1.71004,8.78906,-21.6675,-21.8506
55.244,-1.2023,9.10587,-1.61903,8.23975,-19.9585,-21.2402
55.25,-1.24062,9.28788,-1.51844,7.75146,-19.043,-20.874
55.254,-1.23583,9.39327,-1.49928,6.89697,-18.4326,-20.5078
55.26,-1.08734,9.50344,-1.55676,5.92041,-18.4326,-20.5688
55.264,-0.886157,9.52738,-1.65735,4.69971,-18.5547,-20.5078
55.269,-0.775991,9.35974,-1.76274,4.08936,-18.2495,-20.9961
55.275,-0.641868,9.08671,-1.73878,4.08936,-17.395,-21.8506
55.28,-0.560435,8.91906,-1.70047,4.63867,-15.0757,-23.1323
55.285,-0.565223,8.96216,-1.57113,5.43213,-12.085,-24.7803
55.29,-0.82868,9.12981,-1.46096,5.5542,-8.30078,-26.4893
55.295,-1.36516,9.38847,-1.41306,5.12695,-5.49316,-27.771
55.3,-1.55197,9.5226,-1.25978,3.96728,-4.45557,-28.6255
55.305,-1.30768,9.5226,-1.16398,3.35693,-4.3335,-29.2969
55.31,-0.977164,9.41722,-1.18314,4.08936,-3.23486,-30.5176
55.316,-0.713717,9.28788,-1.2981,5.00488,-0.183105,-32.4097
55.321,-0.689771,9.35494,-1.50407,4.88281,3.05176,-34.6069
55.326,-1.01069,9.46512,-1.70525,3.35693,5.06592,-36.6821
55.331,-1.34121,9.65672,-1.75315,1.15967,4.82178,-38.6353
55.336,-1.38912,9.83395,-1.70525,-0.671387,3.35693,-40.5273
55.341,-1.19272,9.7142,-1.71962,-2.07519,2.07519,-42.1753
55.346,-1.03944,9.54655,-1.89206,-2.99072,0.793457,-43.9453
55.351,-1.11129,9.53218,-2.0214,-3.479,-0.244141,-46.2646
55.357,-1.26457,9.49865,-1.84416,-4.94385,-1.95312,-49.0723
55.362,-1.2023,9.33578,-1.65256,-6.5918,-2.99072,-51.8188
55.367,-1.09213,9.38847,-1.56156,-6.95801,-2.62451,-54.3213
55.372,-0.905316,9.46512,-1.57593,-7.50732,-1.52588,-57.373
55.377,-0.771194,9.46991,-1.71484,-8.8501,0.732422,-60.4248
55.382,-0.934059,9.45075,-1.90165,-10.5591,2.74658,-63.9038
55.387,-1.27415,9.52738,-1.81543,-12.3901,3.05176,-67.0776
55.392,-1.42265,9.44596,-1.55197,-14.4653,2.44141,-69.7632
55.398,-1.25978,9.70941,-1.43701,-15.3809,1.89209,-72.5098
55.403,-1.32684,9.87227,-1.55197,-17.0288,2.13623,-75.5005
55.408,-1.41785,10.0974,-1.64298,-18.5547,3.54004,-78.6133
55.413,-1.74357,10.3034,-1.61903,-19.4092,4.82178,-81.1767
55.418,-2.28963,10.6626,-1.48012,-19.5312,5.24902,-82.4585
55.423,-2.63931,10.8159,-1.31247,-20.3857,4.3335,-84.2285
55.428,-2.65368,10.8303,-1.24062,-21.4844,2.56348,-85.2051
55.433,-2.43813,10.8782,-1.23583,-22.644,0.976562,-86.5478
55.438,-2.47166,10.9021,-1.15919,-23.6816,0.244141,-88.1958
55.444,-2.70159,11.0554,-0.943634,-24.7803,-0.793457,-89.7217
55.449,-2.55788,11.1321,-0.775991,-26.7944,-1.95312,-90.9424
55.454,-2.36149,11.3955,-0.603541,-28.5034,-2.44141,-92.3462
55.459,-2.37107,11.544,-0.723291,-29.9072,-2.62451,-94.1162
55.464,-2.48124,11.9128,-0.986749,-30.8228,-3.23486,-96.3745
55.469,-2.20821,12.1427,-0.866998,-32.4707,-3.2959,-98.938
55.474,-2.13157,12.4924,-0.723291,-34.2407,-3.17383,-100.769
55.479,-2.20821,12.6649,-0.96759,-36.1328,-3.05176,-102.844
55.484,-2.11241,13.0481,-1.09691,-37.5977,-2.44141,-105.774
55.49,-2.07409,13.1534,-1.16877,-40.2832,-1.83106,-108.459
55.495,-2.09804,13.3067,-1.14003,-42.2974,-2.13623,-111.206
55.5,-2.37107,13.5127,-1.18314,-44.2505,-3.35693,-113.586
55.504,-2.52435,13.9342,-1.24062,-46.2646,-5.61523,-116.028
55.51,-2.43813,14.533,-1.27415,-49.0723,-8.30078,-118.835
55.514,-2.16988,14.8108,-1.40348,-53.0395,-11.0474,-121.643
55.52,-1.70525,15.0551,-1.71484,-57.0068,-13.7329,-123.901
55.525,-1.25499,15.309,-1.99266,-60.5469,-16.4185,-126.404
55.53,-1.18314,15.6155,-2.0693,-63.9038,-18.8599,-129.028
55.535,-1.15919,15.9748,-2.20341,-67.2607,-21.9727,-132.996
55.539,-1.10171,16.1664,-2.80696,-70.2515,-27.2827,-137.085
55.545,0.114963,15.7017,-3.05604,-72.3267,-35.0342,-141.174
55.549,0.838255,15.9029,-2.71116,-72.0215,-40.4663,-145.508
55.555,0.752035,16.6502,-1.96871,-73.2422,-44.0674,-151.001
55.559,0.900529,17.6657,-1.36995,-75.8667,-47.0581,-155.701
55.565,1.7771,18.7195,-0.876573,-78.8574,-50.415,-159.668
55.57,2.51956,19.2033,-0.637071,-82.0923,-53.9551,-163.757
55.574,3.40572,19.2895,-0.613125,-84.6558,-57.0679,-168.823
55.58,4.50743,19.3134,-0.862211,-86.5478,-59.2041,-173.584
55.584,4.96727,19.4284,-0.876573,-88.7451,-60.3638,-177.978
55.59,5.11097,19.2512,-1.17356,-91.0644,-62.6831,-181.335
55.594,5.00559,18.8536,-1.23583,-93.0176,-67.3218,-184.57
55.6,5.1445,18.3075,-1.24062,-94.3603,-72.876,-187.317
55.604,5.16366,17.613,-1.36516,-94.6655,-78.2471,-189.941
55.609,3.76976,16.5927,-1.21667,-93.6279,-79.834,-192.2
55.615,2.42376,15.1509,-1.03944,-92.7734,-73.7305,-197.083
55.619,0.996333,14.5905,-1.5376,-90.3931,-60.3638,-202.942
55.625,0.124538,14.3797,-2.10762,-87.9517,-40.9546,-208.313
55.629,-0.354465,14.2599,-2.49082,-85.9375,-21.7285,-211.06
55.635,-0.79515,13.6756,-2.8836,-83.9844,-5.37109,-209.778
55.639,-0.761619,12.4445,-3.32907,-80.8716,8.23975,-205.811
55.644,-0.752035,10.9261,-3.82724,-75.5615,20.9351,-199.036
55.65,-0.756822,10.0064,-4.426,-69.0308,37.3535,-188.843
55.655,-0.689771,9.81958,-4.47869,-64.3311,62.3779,-175.293
55.66,-0.96759,10.2746,-3.3195,-61.1572,88.8061,-162.842
55.664,-1.62382,9.5705,-3.54941,-55.4199,110.962,-154.358
55.67,-1.82022,8.65081,-3.13269,-48.1567,118.103,-147.4
55.674,-1.43222,8.39215,-2.53872,-44.4946,111.755,-143.127
55.68,-1.71484,8.26282,-1.81543,-43.335,102.478,-138.977
55.684,-2.49082,7.86525,-1.19751,-43.396,92.5293,-133.911
55.69,-2.692,7.10363,-0.752035,-44.9829,80.4443,-124.451
55.695,-2.53393,6.09772,0.31135,-47.9126,65.3687,-110.779
55.699,-2.82134,4.97685,1.01069,-51.3306,48.8281,-93.1396
55.705,-2.57225,4.89542,-0.507746,-49.0723,36.3159,-75.6226
55.709,-1.41306,4.89542,-2.75428,-44.9219,33.2031,-58.0444
55.715,0.661027,4.86189,-3.21412,-38.8184,34.6069,-45.7153
55.719,2.68243,4.72777,-2.26569,-35.5835,35.7666,-35.8276
55.725,3.15663,4.11465,-2.04056,-34.1797,33.8745,-23.0103
55.729,2.89318,3.45841,-2.38544,-32.2266,34.0576,-9.15527
55.734,2.77343,2.87403,-2.49561,-30.4565,35.8887,3.54004
55.74,2.81175,2.38065,-2.62015,-28.5645,36.2549,14.8315
55.744,2.9794,2.17468,-2.72553,-27.4048,36.3159,25.3296
55.75,3.18538,2.213,-2.5483,-27.4658,37.9639,36.2549
55.754,3.14706,2.41418,-2.20341,-28.7476,40.9546,47.4853
55.76,2.80696,2.56267,-1.93518,-31.0059,44.9829,58.4717
55.764,2.4046,2.56746,-1.95434,-33.0811,51.1475,68.3594
55.769,1.87291,2.59141,-1.9256,-34.0576,58.5327,77.5146
55.775,1.2502,2.77343,-1.80106,-34.1797,64.7583,86.7309
55.78,0.74246,2.91713,-1.81063,-34.3018,69.7632,96.2524
55.785,0.354465,3.03209,-2.00703,-34.5459,73.9746,106.018
55.789,0.0814328,3.31471,-2.04535,-34.4238,77.2705,116.272
55.795,-0.148494,3.45362,-2.12199,-35.5225,78.7964,126.282
55.799,-0.17244,3.62606,-2.20821,-36.499,79.4678,135.681
55.805,-0.0958045,3.85119,-2.26569,-37.2314,80.9936,145.02
55.809,-0.0670612,3.9901,-2.28485,-37.7808,82.9468,154.541
55.815,-0.100592,4.10028,-2.41897,-37.8418,84.9609,164.062
55.82,-0.182025,4.28229,-2.45729,-37.9028,86.6089,173.767
55.824,-0.229927,4.47869,-2.43334,-38.208,88.0127,183.228
55.83,-0.287404,4.58885,-2.52435,-38.3301,88.7451,192.322
55.834,-0.330509,4.77088,-2.57225,-37.7197,89.2334,201.294
55.84,-0.407154,4.905,-2.6489,-37.0483,88.501,210.083
55.844,-0.387995,5.14929,-2.74948,-36.0718,87.4634,218.201
55.85,-0.421526,5.48938,-2.91713,-34.9731,86.6699,226.44
55.854,-0.373624,5.78157,-3.05604,-33.6914,85.6934,234.619
55.859,-0.378411,6.15041,-3.22849,-31.9214,84.6558,242.798
55.865,-0.479003,6.52882,-3.32907,-29.7241,83.0078,250.854
55.869,-0.502959,6.90724,-3.50152,-27.71,80.8105,258.362
55.875,-0.526905,7.31918,-3.60211,-25.5127,79.2236,265.381
55.879,-0.680186,7.67843,-3.76497,-23.0713,77.6978,272.583
55.885,-0.689771,7.96584,-3.89909,-20.2637,75.2563,279.968
55.889,-0.584382,8.29635,-4.06675,-17.0898,73.5474,286.804
55.895,-0.584382,8.74662,-4.10028,-13.916,71.8384,293.274
55.9,-0.546064,9.22082,-4.2344,-10.8032,70.1294,299.5
55.905,-0.479003,9.78605,-4.40204,-7.44629,69.0308,305.481
55.91,-0.411942,10.4567,-4.37331,-4.3335,68.1763,310.852
55.914,-0.292191,11.1368,-4.38288,-1.70898,67.1997,315.613
55.92,-0.201183,11.6302,-4.4739,1.0376,67.8711,319.885
55.924,-0.273032,12.114,-4.517,4.69971,70.4956,323.853
55.93,-0.253873,12.6218,-4.86668,9.33838,73.3643,327.576
55.934,-0.349677,13.1966,-5.13493,14.4043,76.6602,331.177
55.94,-0.296978,13.9103,-5.21635,18.5547,79.1016,334.29
55.945,-0.479003,14.8012,-5.40796,22.2168,80.2002,337.219
55.949,-0.819096,15.7688,-5.61393,25.0854,81.4209,339.6
55.955,-1.36037,16.7939,-5.82469,28.1372,83.1299,340.881
55.959,-2.09325,17.6992,-6.30369,31.9214,86.4258,341.431
55.965,-2.9794,18.4991,-6.85454,37.2314,92.041,341.064
55.969,-3.97573,19.2943,-7.54431,44.4946,100.037,340.149
55.975,-4.95769,20.1709,-8.20055,52.7344,108.398,338.867
55.979,-6.07377,21.1145,-8.8999,60.9741,115.845,337.036
55.984,-7.32876,21.8426,-9.65193,68.7256,121.704,334.595
55.99,-8.68434,22.3168,-10.3369,76.1719,123.84,331.299
55.994,-9.92975,22.5659,-10.8734,82.5195,120.605,327.087
56,-11.0458,22.6856,-11.1416,88.8061,111.572,321.411
56.004,-12.1475,22.6377,-10.9883,94.1772,97.4121,315.002
56.01,-13.2972,22.5419,-10.6147,99.4873,78.0029,307.495
56.014,-14.624,22.518,-9.97765,105.53,54.3213,297.485
56.02,-15.9748,22.3647,-9.00528,112.427,27.6489,284.973
56.025,-17.3208,21.7564,-7.86046,119.568,0.366211,271.606
56.03,-18.9542,20.578,-6.45218,123.23,-27.5879,261.597
56.035,-19.9697,18.9159,-4.77088,118.652,-61.0962,254.7
56.039,-20.4678,16.358,-3.66917,107.666,-98.8769,249.451
56.045,-20.9277,14.236,-2.86923,98.8159,-133.423,240.601
56.049,-21.6797,13.3977,-2.62494,92.7734,-163.757,223.755
56.055,-22.0486,13.4265,-2.46687,85.8154,-190.735,201.05
56.059,-22.1875,13.4696,-2.14594,74.8901,-212.28,178.162
56.065,-22.4078,13.3115,-1.78669,62.3779,-225.83,155.09
56.07,-22.0869,13.2109,-1.54718,51.3916,-228.699,128.784
56.074,-20.9516,13.9103,-1.21667,43.0908,-220.093,98.5107
56.08,-19.5625,14.3557,-0.775991,34.3628,-201.904,66.5894
56.085,-18.0201,15.1844,-0.622709,27.832,-177.856,34.5459
56.09,-16.1808,16.6741,-0.627497,23.2544,-151.062,5.43213
56.095,-14.8827,17.3016,-0.234714,15.0757,-124.573,-19.7754
56.1,-14.6336,16.0849,0.368836,4.02832,-101.44,-42.0532
56.105,-14.4084,14.0252,1.42265,-6.46973,-82.0923,-61.5234
56.11,-13.9342,12.6649,2.05013,-13.916,-63.8428,-79.895
56.115,-13.8097,16.5544,-1.14482,-6.10351,-46.2646,-103.699
56.121,-9.22082,17.225,3.35303,-6.28662,-36.8042,-126.465
56.126,-4.98643,11.4147,8.44963,-31.4941,-31.3721,-127.38
56.131,-0.407154,9.39806,7.07488,-36.0718,7.20215,-139.343
56.136,6.08335,8.92384,6.8306,-34.668,57.1899,-129.395
56.141,14.533,10.083,9.00048,-34.79,84.8389,-103.882
56.146,23.9646,12.5451,11.3093,-37.4146,96.7407,-89.2944
56.151,31.1975,12.8708,13.4361,-41.9922,106.018,-78.7964
56.156,33.5446,10.4183,13.642,-37.1704,124.817,-70.7397
56.162,24.9896,6.60068,10.6291,-18.1885,155.762,-68.2983
56.167,9.58008,5.85343,7.45809,1.52588,188.538,-72.5098
56.172,1.06338,9.46991,8.04727,10.376,199.036,-83.9233
56.177,-2.85965,15.1844,7.28565,16.4795,189.087,-104.248
56.182,-6.95513,17.3112,5.02954,17.5781,195.679,-124.268
56.187,-8.63165,16.3101,1.96391,19.5312,201.477,-138.184
56.192,-9.02443,14.6671,-1.17356,27.1606,186.279,-138.916
56.197,-6.91203,14.5905,-1.69568,33.4473,150.085,-129.944
56.202,-5.21156,14.5761,-1.34121,32.6538,110.474,-120.117
56.208,-4.67987,13.8815,0.119751,29.7241,83.5571,-118.042
56.213,-5.13493,12.8086,2.21779,22.4609,58.2886,-114.624
56.218,-5.56603,11.5584,2.6441,16.2354,33.9966,-109.375
56.223,-4.52659,10.8782,1.1544,16.2964,13.2446,-102.966
56.228,-1.67651,11.0075,-1.18314,19.043,-6.10351,-97.7783
56.233,1.3939,11.0123,-3.44404,18.9209,-19.5312,-95.3979
56.238,1.93997,9.62798,-5.72888,16.6626,-18.8599,-94.9707
56.243,0.0479022,7.46288,-7.45809,14.8926,-10.5591,-98.0835
56.249,-1.74357,6.77791,-7.93709,13.3057,-2.07519,-102.051
56.254,-2.03097,7.85566,-7.15153,7.69043,5.92041,-104.736
56.259,-1.68131,8.62686,-6.27974,-2.99072,16.8457,-102.905
56.264,-0.948431,8.65081,-5.67141,-12.8174,28.1372,-99.4263
56.269,-0.00478728,8.15265,-4.86189,-18.0664,34.1187,-94.8486
56.274,0.325721,7.58263,-3.96615,-21.3623,32.5317,-89.1724
56.279,-0.13891,7.41019,-2.8884,-23.9868,26.4893,-84.0454
56.285,-0.924475,7.98021,-1.76753,-26.001,20.3247,-81.1157
56.289,-1.78669,8.9909,-0.871785,-27.71,16.1743,-79.9561
56.295,-2.20341,9.88185,-0.756822,-28.2593,11.6577,-80.6274
56.299,-1.59029,10.5429,-0.689771,-27.1606,6.04248,-83.2519
56.305,-0.871785,10.9452,-0.148494,-25.6958,3.2959,-84.9609
56.309,-1.01069,10.2411,0.387995,-22.522,2.80762,-83.8013
56.315,-1.64298,9.48428,0.838255,-17.395,1.09863,-83.1909
