t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.004,3.2959,-9.9244,4.50489,88.3979,-35.2535,-13.1249
55.01,2.8885,-8.64054,3.40924,81.6181,-26.1046,-12.5197
55.014,2.34136,-7.88643,3.54892,75.6582,-15.7749,-14.6154
55.019,1.71536,-7.92372,4.30401,73.6731,-6.32185,-15.7623
55.025,1.44183,-8.25024,4.85639,74.7056,0.322494,-15.7851
55.03,1.52368,-8.62419,4.84795,74.9949,3.93229,-15.8638
55.035,1.58752,-9.00753,4.40414,73.2945,6.29669,-16.0497
55.039,1.49925,-9.15039,4.07801,70.6625,8.79177,-16.271
55.045,1.39736,-9.0272,4.14229,68.0218,12.122,-16.1325
55.049,1.25246,-8.78367,4.37072,65.6228,16.5474,-16.4183
55.055,1.04698,-8.66609,4.39113,62.9028,20.9376,-16.3812
55.059,0.915655,-8.56882,4.13542,60.6445,23.3959,-16.5809
55.065,1.0056,-8.53773,3.74117,58.7699,22.7874,-16.7347
55.07,1.17362,-8.42806,3.41503,57.4398,20.0832,-17.7994
55.074,1.48267,-8.64474,3.532,56.6004,19.4025,-19.2623
55.08,1.68258,-8.97697,3.75779,57.1914,22.3969,-20.608
55.084,1.47026,-9.23265,3.31591,58.8809,24.9239,-21.2358
55.09,1.11678,-8.95246,2.46459,58.9906,20.9149,-22.1884
55.094,1.15941,-8.40659,2.2752,57.2764,11.522,-23.8362
55.1,1.39336,-8.34592,2.63394,56.2241,2.89289,-23.5658
55.104,1.65723,-8.55536,3.05807,55.2924,-1.98077,-21.2417
55.109,1.92236,-8.70147,3.45959,53.6285,-3.25792,-19.6211
55.115,2.02378,-8.67365,3.36247,51.4438,-2.41603,-18.1481
55.119,2.08137,-8.33602,3.33176,48.7131,-1.99261,-17.4251
55.125,2.15206,-8.13394,3.67041,46.2204,-1.65203,-17.1668
55.129,2.19859,-8.21422,3.97406,44.3328,0.728795,-16.1527
55.135,2.10258,-8.41531,3.81857,42.4908,4.06011,-14.8278
55.139,1.98144,-8.44401,3.75475,40.2945,6.03417,-13.8191
55.144,2.03122,-8.24306,4.01997,37.7094,7.28468,-13.3455
55.15,1.83089,-8.16467,4.26394,35.3387,9.38256,-13.0735
55.154,1.66353,-8.05152,4.28012,33.8154,11.9979,-13.3097
55.16,1.66183,-7.99002,4.23809,32.5232,13.41,-14.0709
55.164,1.64957,-8.00775,4.37968,31.4028,15.3756,-15.3157
55.17,1.60396,-8.04721,4.49298,30.1401,18.839,-17.0688
55.174,1.5481,-7.97207,4.57241,28.9721,22.2422,-19.0113
55.18,1.37911,-7.9435,4.60851,27.8313,25.1788,-21.1853
55.184,1.28251,-8.03479,4.60929,26.7748,27.3264,-23.2237
55.19,1.34523,-7.98606,4.60819,26.0375,28.9415,-24.7951
55.195,1.60172,-8.01758,4.44691,25.5213,29.8601,-26.546
55.199,1.8361,-8.18475,4.23433,24.7525,30.3833,-27.53
55.205,2.00333,-8.28942,3.96363,24.0469,31.3238,-27.6902
55.209,2.13911,-8.34355,3.74143,23.55,31.9392,-27.7017
55.215,2.26469,-8.42912,3.5473,22.8582,30.9292,-26.585
55.219,2.32215,-8.44955,3.47906,21.819,28.7287,-24.9289
55.225,2.30843,-8.40255,3.48505,21.2152,25.7251,-22.8585
55.229,2.28555,-8.19601,3.52836,20.6733,23.0502,-20.783
55.234,2.36828,-8.05728,3.56422,20.1854,19.8747,-19.9775
55.24,2.3228,-8.19083,3.77239,19.2323,17.5937,-18.5676
55.244,2.24223,-8.19464,3.84758,18.7952,16.1608,-17.4055
55.25,2.15765,-8.35399,3.95789,18.5498,15.4572,-16.5959
55.254,2.14348,-8.45509,3.99069,18.3406,15.1625,-15.5441
55.26,2.18494,-8.608,3.87938,18.5394,15.4851,-14.642
55.264,2.25709,-8.69683,3.68426,18.6459,16.0033,-13.5335
55.269,2.33697,-8.57476,3.51086,19.231,15.9178,-12.9381
55.275,2.28013,-8.36139,3.30027,20.1199,15.113,-12.7884
55.28,2.22203,-8.23012,3.17538,21.4291,12.745,-12.738
55.285,2.09708,-8.26948,3.21343,23.1004,9.66342,-12.7518
55.29,2.03422,-8.34095,3.5306,24.9683,6.05468,-11.8894
55.295,2.07634,-8.40802,4.12283,26.4412,3.54828,-10.7685
55.3,1.95826,-8.47325,4.36404,27.5041,2.95361,-9.47685
55.305,1.82891,-8.55412,4.15054,28.2607,3.04132,-8.96882
55.31,1.79552,-8.56376,3.80484,29.4204,1.76492,-9.47825
55.316,1.8651,-8.52844,3.49946,31.3189,-1.41411,-9.62285
55.321,2.06878,-8.59923,3.46789,33.6756,-4.42271,-8.78553
55.326,2.31888,-8.59684,3.77293,36.0477,-5.81574,-7.01794
55.331,2.42302,-8.66844,4.13663,38.2775,-4.8557,-5.34199
55.336,2.39164,-8.82,4.24637,40.3317,-2.8645,-4.39669
55.341,2.37179,-8.7718,4.02187,42.0936,-1.18773,-3.75354
55.346,2.51184,-8.66383,3.79812,43.9068,0.328028,-3.58445
55.351,2.64914,-8.62627,3.84096,46.2151,1.47338,-3.81735
55.357,2.49394,-8.54437,3.99981,49.1099,3.57593,-3.43166
55.362,2.28727,-8.41159,3.91751,52.005,5.10512,-2.64687
55.367,2.18442,-8.49789,3.84562,54.5497,4.88548,-2.56347
55.372,2.17609,-8.6319,3.69412,57.7012,4.03609,-2.15323
55.377,2.29464,-8.68043,3.54955,61.0253,2.35413,-0.624299
55.382,2.50141,-8.60818,3.66708,64.811,1.02443,1.10226
55.387,2.46838,-8.56838,4.02246,68.2239,1.34749,2.43132
55.392,2.22479,-8.44302,4.17425,71.1415,2.61437,3.76335
55.398,2.10168,-8.74571,4.12555,73.958,3.44082,4.02397
55.403,2.23326,-8.87705,4.22389,77.1608,3.76066,5.1899
55.408,2.34779,-9.05931,4.36851,80.527,2.94585,6.6018
55.413,2.38097,-9.14624,4.74328,83.2485,2.02343,7.43028
55.418,2.33969,-9.30524,5.39098,84.5551,1.66305,7.48998
55.423,2.23149,-9.3348,5.7926,86.3786,2.81299,7.72156
55.428,2.16325,-9.34379,5.82156,87.4082,4.84853,8.02209
55.433,2.13042,-9.4602,5.63676,88.8179,6.73208,8.38391
55.438,2.06065,-9.47184,5.68741,90.5562,7.76942,8.8645
55.444,1.88811,-9.54104,5.98452,92.1668,9.11474,9.321
55.449,1.70598,-9.66124,5.90074,93.5991,10.877,10.638
55.454,1.52128,-9.97507,5.82941,95.204,11.9051,11.8616
55.459,1.6487,-10.1118,5.86871,97.1433,12.5451,12.8447
55.464,1.94385,-10.423,6.05204,99.474,13.4282,13.1591
55.469,1.79865,-10.7304,5.89032,102.239,14.0352,14.29
55.474,1.66381,-11.0861,5.95455,104.306,14.5082,15.7051
55.479,1.92511,-11.2231,6.04545,106.632,15.0221,17.1974
55.484,2.05919,-11.6162,6.06152,109.768,14.9357,18.3211
55.49,2.13024,-11.7281,6.04926,112.834,15.2519,20.6209
55.495,2.11316,-11.8649,6.12595,115.82,16.2107,21.9863
55.5,2.20516,-11.9691,6.44142,118.386,18.0127,23.0515
55.504,2.30553,-12.3163,6.71326,120.969,20.8144,23.8257
55.51,2.35744,-12.9099,6.82304,124.003,24.2822,25.1461
55.514,2.46162,-13.2604,6.6438,127.2,28.1906,27.5285
55.52,2.71615,-13.6438,6.2429,129.855,32.0402,30.0139
55.525,2.94007,-14.0316,5.8636,132.693,35.7493,32.0636
55.53,3.0215,-14.3445,5.88495,135.636,39.1676,34.0038
55.535,3.16927,-14.6912,5.95954,139.874,43.2224,35.5221
55.539,3.76766,-14.8898,5.87729,144.066,49.2305,35.9638
55.545,3.81728,-14.8525,4.55274,148.001,57.2407,34.7548
55.549,3.38418,-15.282,3.99547,151.961,62.276,32.0439
55.555,2.70114,-15.9604,4.43175,157.378,66.0894,31.1792
55.559,2.14074,-16.9692,4.71479,162.241,69.7886,31.9434
55.565,1.58323,-18.2543,4.31499,166.413,73.9528,33.0405
55.57,1.2662,-18.9567,3.8161,170.731,78.3709,34.2873
55.574,1.12131,-19.3307,3.02088,175.941,82.166,34.8994
55.58,1.21252,-19.7166,1.96298,180.806,84.8168,35.2495
55.584,1.16745,-19.977,1.56921,185.401,86.646,36.2584
55.59,1.43148,-19.8566,1.33248,188.928,89.6079,37.1594
55.594,1.48741,-19.4463,1.29173,192.163,94.638,36.9808
55.6,1.44418,-18.9768,0.983261,194.782,100.33,36.0075
55.604,1.52863,-18.3273,0.720057,197.141,105.505,34.1443
55.609,1.52674,-16.9042,1.71045,199.145,106.665,32.3174
55.615,1.46783,-15.0992,2.52299,204.166,100.632,32.7736
55.619,2.13373,-14.0978,3.59705,210.312,87.241,34.0276
55.625,2.80996,-13.6098,4.25579,216.28,68.1254,37.2691
55.629,3.2505,-13.3377,4.60586,219.705,49.3184,41.2457
55.635,3.67104,-12.6399,4.76722,219.007,33.2311,44.9519
55.639,4.04294,-11.488,4.26714,215.348,19.3479,47.0854
55.644,4.45546,-10.057,3.68774,208.555,5.59743,47.2937
55.65,5.00044,-9.18606,3.30184,198.402,-12.0772,48.0933
55.655,5.03335,-9.03176,3.17038,185.636,-37.2772,53.9153
55.66,3.9504,-9.37186,3.75304,174.245,-63.2961,61.4531
55.664,4.23431,-8.49008,4.10106,166.191,-86.1209,64.6065
55.67,3.80263,-7.55798,4.04728,158.652,-95.2739,61.2081
55.674,3.14705,-7.44317,3.6905,153.58,-90.5002,56.3653
55.68,2.46544,-7.22923,4.02125,148.833,-82.135,52.8838
55.684,1.94409,-6.59897,4.70899,143.319,-72.7347,50.4606
55.69,1.49284,-5.81454,4.71556,133.567,-60.8229,49.4279
55.695,0.367169,-4.91943,4.40049,119.688,-45.6534,49.3086
55.699,-0.341397,-3.76796,4.40868,101.879,-28.9479,49.7661
55.705,1.12009,-3.77027,3.92044,83.5951,-17.919,46.2221
55.709,3.17647,-4.14851,2.49957,65.4686,-16.3872,43.9874
55.715,3.33513,-4.80088,0.483714,52.4878,-19.753,40.6108
55.719,2.10393,-5.34376,-1.30319,42.3147,-21.936,39.463
55.725,1.7824,-4.9221,-1.91169,29.3473,-20.6397,39.4708
55.729,2.12673,-4.21497,-1.93195,15.3835,-21.4857,39.7996
55.734,2.22238,-3.62361,-2.02744,2.67747,-23.8244,40.6615
55.74,2.31452,-3.17031,-2.24293,-8.73395,-24.8178,40.72
55.744,2.38426,-3.03105,-2.48246,-19.273,-25.2797,41.2425
55.75,2.18183,-3.1356,-2.63543,-29.9792,-26.8373,43.4863
55.754,1.85674,-3.31354,-2.48198,-40.7443,-29.2597,47.3533
55.76,1.6475,-3.34193,-2.07568,-51.076,-32.3386,52.4331
55.764,1.72376,-3.21354,-1.70154,-60.237,-37.4921,57.873
55.769,1.772,-3.06062,-1.19323,-68.7666,-44.1591,62.5752
55.775,1.74663,-3.02703,-0.533956,-77.5377,-50.0138,66.111
55.78,1.83554,-2.99497,-0.0147175,-86.6737,-54.7169,69.2948
55.785,2.09066,-2.97495,0.355199,-96.0748,-58.6313,72.3704
55.789,2.18189,-3.15147,0.696383,-106.058,-61.8034,74.8795
55.795,2.29745,-3.2065,0.944684,-115.719,-62.9012,77.9136
55.799,2.39501,-3.36118,1.01026,-124.837,-63.2315,80.4627
55.805,2.45261,-3.59887,1.0035,-133.886,-64.4489,83.0537
55.809,2.47466,-3.73944,1.01909,-143.119,-66.1304,85.6408
55.815,2.6177,-3.8321,1.06607,-152.417,-68.0307,87.792
55.82,2.67655,-3.97692,1.19564,-161.917,-69.5858,89.8515
55.824,2.66983,-4.14654,1.30802,-171.154,-70.8293,92.0225
55.83,2.77365,-4.23135,1.38384,-180.088,-71.4988,93.7481
55.834,2.83654,-4.38883,1.47621,-189.019,-72.1795,94.6922
55.84,2.93012,-4.48996,1.57991,-197.84,-71.7277,95.1536
55.844,3.03947,-4.72667,1.62652,-206.057,-71.0873,95.1295
55.85,3.22756,-5.03626,1.74343,-214.399,-70.7179,95.0892
55.854,3.3732,-5.3276,1.77306,-222.716,-70.2361,94.8093
55.859,3.56344,-5.67381,1.8718,-231.106,-69.8579,94.0539
55.865,3.69672,-5.99757,2.07391,-239.467,-69.0444,92.6821
55.869,3.89017,-6.34649,2.19366,-247.288,-67.6507,91.2193
55.875,4.01432,-6.72721,2.33518,-254.621,-66.8928,89.7108
55.879,4.21565,-7.01535,2.57081,-262.165,-66.2735,88.0221
55.885,4.36446,-7.2832,2.65325,-269.99,-64.9111,85.7207
55.889,4.53236,-7.62963,2.6374,-277.286,-64.3601,83.2335
