t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.001,-3.61169,-8.79931,0.526905,-2.31934,-35.0952,-6.53076
55.006,-3.61169,-8.80409,0.455056,-1.40381,-35.0952,-6.40869
55.012,-3.61169,-8.78972,0.450259,-0.610352,-34.9731,-5.92041
55.016,-3.54941,-8.80888,0.421526,0.183105,-34.4849,-5.24902
55.022,-3.54941,-8.83762,0.440685,0.915527,-33.9966,-4.63867
55.026,-3.55421,-8.87594,0.4311,1.40381,-33.3252,-4.27246
55.032,-3.53026,-8.88553,0.411942,2.07519,-32.6538,-3.35693
55.036,-3.47757,-8.8951,0.387995,2.99072,-31.7993,-2.19727
55.042,-3.41051,-8.88553,0.373624,3.78418,-30.5786,-0.732422
55.047,-3.35303,-8.87594,0.31135,4.5166,-28.8696,0.793457
55.052,-3.3195,-8.85199,0.301775,5.06592,-26.9165,2.13623
55.057,-3.27638,-8.80888,0.263448,5.43213,-24.9023,3.60107
55.061,-3.3195,-8.81846,0.268245,5.49316,-22.8882,5.06592
55.067,-3.34824,-8.84241,0.244289,5.49316,-21.0571,6.34766
55.071,-3.38177,-8.86637,0.273032,5.37109,-19.6533,7.50732
55.077,-3.43446,-8.93343,0.287404,4.94385,-18.7988,8.42285
55.081,-3.50152,-8.9909,0.301775,4.69971,-18.3105,9.33838
55.087,-3.5111,-9.06754,0.292191,4.57764,-18.0664,10.1929
55.092,-3.59253,-9.11544,0.234714,4.45557,-18.0054,10.9863
55.096,-3.59253,-9.1394,0.249086,4.27246,-18.2495,11.6577
55.102,-3.58295,-9.21125,0.215555,3.78418,-18.4937,12.085
55.106,-3.56379,-9.35494,0.215555,3.2959,-18.8599,12.2681
55.112,-3.63085,-9.51781,0.124538,2.68555,-19.165,12.3901
55.116,-3.65001,-9.65193,-0.00958437,2.13623,-19.7144,12.3291
55.122,-3.67875,-9.82437,-0.0143716,1.58691,-20.5688,11.9629
55.126,-3.71228,-9.9537,-0.0766455,1.09863,-21.7285,11.5967
55.131,-3.76976,-10.0878,-0.134122,0.549316,-23.1934,11.0474
55.137,-3.81766,-10.2172,-0.162866,0.061035,-24.9023,10.376
55.141,-3.88951,-10.38,-0.239501,-0.305176,-26.9165,9.39941
55.147,-3.91825,-10.5285,-0.268245,-0.732422,-29.1138,8.36182
55.151,-3.91346,-10.6866,-0.301775,-0.915527,-31.6772,7.32422
55.157,-3.97094,-10.8303,-0.287404,-1.2207,-34.0576,5.92041
55.161,-4.04759,-11.0315,-0.330509,-1.52588,-36.438,4.63867
55.167,-4.08112,-11.1943,-0.320934,-1.70898,-38.9404,3.11279
55.172,-4.06675,-11.338,-0.349677,-2.01416,-41.0767,2.01416
55.177,-4.07153,-11.4865,-0.421526,-2.13623,-42.7246,1.15967
55.182,-4.13859,-11.6302,-0.426313,-2.19727,-44.2505,0.244141
55.187,-4.12422,-11.726,-0.469428,-2.2583,-45.3491,-0.732422
55.192,-4.14338,-11.8745,-0.507746,-2.44141,-45.8374,-1.52588
