t,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
55.001,0.712865,-7.95878,5.18646,5.31604,-34.7987,6.36358
55.006,0.666805,-7.99219,5.14233,6.01732,-34.7165,5.76815
55.012,0.659037,-7.981,5.13571,6.83942,-34.3791,5.46285
55.016,0.688334,-8.00789,5.07664,7.66582,-33.633,5.18147
55.022,0.710206,-8.02641,5.09591,8.41039,-32.9138,4.90639
55.026,0.712848,-8.06548,5.10298,8.76932,-32.1346,4.6108
55.032,0.719454,-8.08113,5.0757,9.61616,-31.1268,4.52727
55.036,0.742359,-8.09767,5.02429,10.7316,-29.8443,4.37261
55.042,0.775228,-8.09233,4.96357,11.8495,-28.108,4.40851
55.047,0.769872,-8.10667,4.87967,12.8104,-25.903,4.40559
55.052,0.778601,-8.08745,4.84301,13.448,-23.5555,4.36058
55.057,0.768664,-8.062,4.77638,14.0228,-21.1094,4.51178
55.061,0.74568,-8.07036,4.81347,14.3908,-18.6742,4.88715
55.067,0.717989,-8.10296,4.82546,14.6547,-16.4826,5.23762
55.071,0.721959,-8.11445,4.87422,14.8915,-14.7352,5.70764
55.077,0.717197,-8.17182,4.93876,14.9353,-13.5995,6.38521
55.081,0.699632,-8.22094,5.01146,15.2202,-12.7919,7.01992
55.087,0.71128,-8.2952,5.03162,15.6255,-12.2278,7.58757
55.092,0.633333,-8.36513,5.06715,16.0487,-11.8557,8.16247
55.096,0.650507,-8.38122,5.08221,16.4473,-11.814,8.78157
55.102,0.657748,-8.4601,5.072,16.4775,-11.8819,9.47085
55.106,0.716642,-8.59074,5.09387,16.3848,-12.1601,10.0366
55.112,0.662953,-8.77879,5.12646,16.1495,-12.4116,10.6382
55.116,0.60399,-8.95627,5.08947,15.9124,-12.958,11.1406
55.122,0.636439,-9.11684,5.1507,15.5706,-13.9067,11.5268
55.126,0.613794,-9.26142,5.1684,15.3677,-15.1321,11.9446
55.131,0.579619,-9.40928,5.20791,15.0996,-16.7127,12.368
55.137,0.569465,-9.54088,5.25733,14.8701,-18.5635,12.7306
55.141,0.522033,-9.72323,5.30249,14.6186,-20.8123,12.8874
55.147,0.530966,-9.8716,5.34262,14.3439,-23.2552,13.0964
55.151,0.562519,-10.0295,5.3575,14.3517,-26.0241,13.2176
