seed,test,frame,baseline_mpjpe,experiment_mpjpe,delta_mpjpe,improves_mpjpe,baseline_pa_mpjpe,experiment_pa_mpjpe,delta_pa_mpjpe,improves_pa_mpjpe,baseline_pck100,experiment_pck100,delta_pck100,improves_pck100
0,video1,body,90.54204824492298,88.83416336186708,-1.7078848830558968,True,69.07667237491836,67.78643697143414,-1.2902354034842176,True,67.3502418940825,67.38539430126372,0.03515240718121504,True
0,video2,body,106.27213678318533,96.34975851384016,-9.922378269345174,True,83.37371586541877,75.21598550632719,-8.157730359091588,True,56.2258828607102,61.11045457114525,4.884571710435047,True
0,video3,body,83.46087318121542,92.24630108127425,8.785427900058835,False,64.818430463419,68.69427170443292,3.875841241013916,False,72.87849052731494,70.58477956927182,-2.293710958043121,False
0,video4,body,93.1477876727886,92.25141000873619,-0.8963776640524088,True,70.71660825665577,70.5722756718322,-0.14433258482357303,True,66.0446542297943,65.84384440657279,-0.20080982322151897,False
0,video5,body,92.59015420764426,91.72057372351294,-0.869580484131319,True,72.62487242514777,71.13048981417019,-1.4943826109775813,True,70.06702840727736,69.9227976380466,-0.1442307692307594,False
0,video6,body,86.26899861754819,86.24254250641262,-0.026456111135573224,True,69.42825243390917,70.3981913554213,0.9699389215121386,False,67.6536439907005,67.7534620438694,0.09981805316890302,True
1,video1,body,87.157133468476,87.08219520410519,-0.07493826437081452,True,67.32287375731794,66.30242029569803,-1.0204534616199084,True,68.7267494644948,68.24877788483667,-0.4779715796581314,False
1,video2,body,97.74316339332718,100.82757181755206,3.0844084242248755,False,73.67787277658249,77.89668106524749,4.218808288665002,False,61.70365270291794,57.97336388813245,-3.730288814785496,False
1,video3,body,84.37565998684782,82.43820044932161,-1.937459537526209,True,64.11993252528349,64.62798000694156,0.5080474816580676,False,72.67916009286695,72.13350264876027,-0.5456574441066806,False
1,video4,body,102.38608548512842,94.95519891045134,-7.430886574677075,True,74.96204474429864,71.60785277563413,-3.3541919686645087,True,64.92614604673071,65.05427942699563,0.12813338026492715,True
1,video5,body,92.83577848440602,92.8377862081821,0.0020077237760744993,False,72.48853059422419,71.57408263216058,-0.9144479620636048,True,69.70495531439515,69.69737472071496,-0.0075805936801884855,False
1,video6,body,89.0346035480645,87.87284934401116,-1.161754204053338,True,71.57433584458565,70.00030307266454,-1.574032771921111,True,67.0034367734762,66.54907510360862,-0.45436166986758053,False
2,video1,body,86.1423211327257,84.62073919132044,-1.521581941405259,True,65.39671036264717,63.95440011867976,-1.4423102439674125,True,67.86235430085908,68.40961911481686,0.5472648139577814,True
2,video2,body,106.43357175512557,99.27027392163092,-7.163297833494653,True,83.06646892811385,77.29711372697925,-5.769355201134601,True,57.70232706309121,60.800624797685785,3.098297734594574,True
2,video3,body,88.01015007759686,82.78777305387317,-5.222377023723695,True,66.53766455731805,63.04975801066112,-3.48790654665693,True,71.36799168815176,72.57038775798156,1.2023960698298026,True
2,video4,body,93.5217090435729,95.57498348024839,2.053274436675494,False,69.63604894522176,71.70591498472562,2.0698660395038644,False,65.08846521026788,64.98489494835414,-0.1035702619137453,False
2,video5,body,94.00038367787376,93.94414932650616,-0.056234351367592694,True,73.22971667113003,72.42216448695397,-0.8075521841760605,True,69.28283593999362,69.23815033514204,-0.0446856048515798,False
2,video6,body,87.9568484968496,85.41363573682303,-2.5432127600265773,True,69.87615691567132,69.05384166525366,-0.8223152504176596,True,66.92130799555241,67.97609420802587,1.0547862124734593,True
